Latitude,Longitude,Precipitation,Temperature,Soil Moisture,Elevation,Mosquito Count
21.5544,39.18421,0.2,102,0.07,15,30
21.5544,39.18421,0.2,111,0.01,15,37
21.5544,39.18421,0,85,0.02,15,18
21.5544,39.18421,0.2,100,0.03,15,33
21.5544,39.18421,0,82,0.01,15,10
21.5544,39.18421,0.1,90,0.01,15,23
21.5544,39.18421,0.5,63,0.1,15,68
21.5544,39.18421,0.3,50,0.09,15,41
21.5544,39.18421,0,58,0.03,15,17
21.5544,39.18421,0,69,0.04,15,18
21.5544,39.18421,0,46,0.02,15,3
21.5544,39.18421,0,50,0.02,15,3
21.5544,39.18421,0.1,70,0.04,15,15
21.5544,39.18421,0.1,117,0.05,15,18
21.5544,39.18421,0,85,0.02,15,2
21.5544,39.18421,0.2,115,0.08,15,35
21.5544,39.18421,0,86,0.04,15,14
21.5544,39.18421,0,84,0.02,15,11
21.5544,39.18421,0.2,114,0.09,15,33
21.5544,39.18421,0,82,0.01,15,2
21.5544,39.18421,0,98,0.05,15,19
21.5544,39.18421,0.8,114,0.2,15,252
21.5544,39.18421,0.1,99,0.01,15,29
21.5544,39.18421,0,85,0.02,15,12
21.5544,39.18421,0.1,86,0.02,15,21
21.5544,39.18421,0.1,100,0.03,15,27
21.5544,39.18421,0,92,0.02,15,15
21.5544,39.18421,0,98,0.02,15,19
21.5544,39.18421,0,83,0.01,15,6
21.5544,39.18421,0,86,0.01,15,4
21.5544,39.18421,0,82,0.01,15,3
21.5544,39.18421,0,83,0.02,15,16
21.5544,39.18421,0.1,97,0.04,15,22
21.611502,39.138221,0,80,0.01,7.1,6
21.611502,39.138221,0.2,95,0.07,7.1,35
21.611502,39.138221,0,78,0.02,7.1,10
21.611502,39.138221,0.4,92,0.16,7.1,41
21.611502,39.138221,0,70,0.04,7.1,4
21.611502,39.138221,0,56,0.04,7.1,2
21.611502,39.138221,0.2,72,0.09,7.1,23
21.611502,39.138221,0.3,85,0.13,7.1,38
21.611502,39.138221,0,60,0.05,7.1,5
21.611502,39.138221,0.2,81,0.23,7.1,37
21.611502,39.138221,0,70,0.18,7.1,28
21.611502,39.138221,0,55,0.04,7.1,1
21.611502,39.138221,0.1,70,0.05,7.1,14
21.611502,39.138221,0.2,85,0.06,7.1,27
21.611502,39.138221,0,74,0.09,7.1,12
21.611502,39.138221,0,80,0.04,7.1,12
21.611502,39.138221,0.1,98,0.12,7.1,30
21.611502,39.138221,0.2,87,0.14,7.1,36
21.611502,39.138221,0,76,0.9,7.1,14
21.611502,39.138221,0,64,0.2,7.1,4
21.611502,39.138221,0,65,0.02,7.1,11
21.611502,39.138221,0.2,94,0.2,7.1,39
21.611502,39.138221,0.1,80,0.17,7.1,26
21.611502,39.138221,0,101,0.08,7.1,16
21.611502,39.138221,0,85,0.04,7.1,4
21.611502,39.138221,0.3,115,0.19,7.1,43
21.611502,39.138221,0,100,0.02,7.1,7
21.611502,39.138221,0,86,0.03,7.1,2
21.611502,39.138221,0,84,0.05,7.1,5
21.611502,39.138221,0.1,99,0.09,7.1,15
21.611502,39.138221,0.3,114,0.21,7.1,45
21.611502,39.138221,0,82,0.01,7.1,1
21.611502,39.138221,0.2,114,0.15,7.1,29
21.611502,39.138221,0,98,0.09,7.1,14
21.611502,39.138221,0.1,99,0.07,7.1,19
21.611502,39.138221,0,113,0.1,7.1,20
21.611502,39.138221,0.1,113,0.14,7.1,25
21.611502,39.138221,0,86,0.01,7.1,5
21.611502,39.138221,0.1,100,0.03,7.1,17
21.611502,39.138221,0.1,113,0.09,7.1,19
21.611502,39.138221,0,83,0.01,7.1,3
21.611502,39.138221,0.1,98,0.06,7.1,12
21.611502,39.138221,0,86,0.03,7.1,2
21.611502,39.138221,0,100,0.02,7.1,6
21.611502,39.138221,0.2,111,0.18,7.1,28
21.611502,39.138221,0,97,0.07,7.1,12
8.642244,99.892236,0.15,84,0.1,22.1,29
8.642244,99.892236,0.15,84,0.1,22.1,29
8.642244,99.892236,0.15,84,0.1,22.1,29
8.56921,99.51569,0.15,90,0.17,71,30
8.56921,99.51569,0.15,90,0.17,71,30
8.55674,99.53739,0.15,90,0.17,51,39
8.55674,99.53739,0.15,101,0.17,51,39
8.55674,99.53739,0.2,101,0.17,51,39
8.55674,99.53739,0.2,102,0.17,51,39
8.55674,99.53739,0.2,102,0.17,51,39
8.55674,99.53739,0.2,102,0.17,51,39
8.55515,99.53998,1.5,109,0.35,57,134
8.55515,99.53998,1.5,109,0.35,57,134
8.55515,99.53998,1.5,109,0.35,57,134
8.55515,99.53998,1.5,109,0.35,57,134
8.55515,99.53998,1.5,109,0.35,57,134
8.55515,99.53998,1.5,109,0.35,57,134
8.58398,99.58855,0,84,0.02,68,8
8.58398,99.58855,0,84,0.02,68,8
8.58411,99.58856,0.15,90,0.1,70,28
8.58411,99.58856,0.15,90,0.1,70,28
8.58411,99.58856,0.15,90,0.1,70,28
8.58411,99.58856,0.15,90,0.1,70,28
8.58427,99.58859,0.15,84,0.02,68,11
8.58427,99.58859,0,84,0.02,68,11
8.58427,99.58859,0,84,0.02,68,11
8.58427,99.58859,0,84,0.02,68,11
8.50882,99.58364,0.2,102,0.21,69,44
8.50882,99.58364,0,84,0.02,69,7
8.50882,99.58364,0.2,102,0.21,69,44
8.58088,99.58884,0.2,102,0.21,67,44
8.58088,99.58884,0.2,106,0.21,67,44
8.58106,99.58873,0,89,0.02,71,5
8.58106,99.58873,0,84,0.02,71,5
8.57083,99.57055,0.15,100,0.02,62,11
8.57083,99.57055,0.15,100,0.02,62,11
8.57092,99.57081,0,88,0.02,62,8
8.57092,99.57081,0,88,0.02,62,8
8.5523,99.53614,0.15,103,0.1,52,24
8.5523,99.53614,0.15,103,0.1,52,24
8.56282,99.54898,0.15,91,0.1,51,27
8.56282,99.54898,0.15,91,0.1,51,27
8.56376,99.54942,0.3,104,0.23,51,65
8.56376,99.54942,0.3,104,0.23,51,65
8.56376,99.54942,0.3,104,0.23,51,65
8.57206,99.51129,0,78,0.02,67,2
8.57013,99.51252,0.2,91,0.21,68,46
8.57011,99.51263,0,78,0.02,69,2
8.56994,99.5125,1.5,104,0.35,73,116
8.56994,99.5125,1.5,104,0.35,73,116
8.5713,99.5121,0,78,0.02,72,1
8.56622,99.51895,0.15,91,0.1,76,32
8.55886,99.52338,2,101,0.5,63,241
8.55886,99.52338,2,101,0.5,63,241
8.55886,99.52338,2,101,0.5,63,241
8.55886,99.52367,0.05,90,0.1,53,26
8.55886,99.52367,0.05,90,0.1,53,26
8.55886,99.52367,0.05,90,0.1,53,26
8.55886,99.52367,0.05,90,0.1,53,26
8.60885,99.959212,0,78,0.02,10,8
8.60333,99.95758,0.05,80,0.1,10,29
8.60333,99.95758,0.05,80,0.1,10,29
8.60333,99.95758,0.05,80,0.1,10,29
8.60348,99.95745,0.2,86,0.17,10,40
8.60348,99.95745,0.2,86,0.17,10,40
8.60392,99.95773,0.05,74,0.17,10,24
8.60392,99.95773,0.05,74,0.1,10,24
8.60392,99.95773,0.05,74,0.1,10,24
8.60408,99.95772,0.05,75,0.1,10,22
8.60408,99.95772,0.2,75,0.1,10,22
8.60415,99.95757,1.5,91,0.35,10,130
8.60415,99.95757,1.5,91,0.35,10,130
8.60432,99.9577,0.2,83,0.23,10,59
8.60432,99.9577,0.2,83,0.23,10,59
8.60432,99.9577,0.2,83,0.23,10,59
8.60432,99.9577,0.2,83,0.23,10,59
8.60432,99.95757,0.05,75,0.1,10,19
8.60432,99.95757,0.05,75,0.1,10,19
8.60432,99.95757,0.05,75,0.1,10,19
8.60497,99.95642,1.5,91,0.35,10,108
8.60497,99.95642,1.5,91,0.35,10,108
8.6049,99.95627,0.05,75,0.1,10,24
8.6049,99.95627,0.05,75,0.1,10,24
8.603677,99.959596,0,78,0.02,10,12
8.603677,99.959596,0,78,0.02,10,12
8.603677,99.959596,0,78,0.02,10,12
8.60318,99.95472,0,80,0.1,10,17
8.60318,99.95472,0,80,0.1,10,17
8.60293,99.9546,0,78,0.02,10,6
8.60358,99.95475,2,100,0.5,10,229
8.60358,99.95475,2,100,0.5,10,229
8.6031,99.95367,0,83,0.1,10,16
8.6031,99.95367,0,83,0.1,10,16
8.60315,99.95417,0.05,83,0.1,10,17
8.60315,99.95417,0.05,83,0.1,10,17
8.60303,99.95415,0,78,0.02,10,9
8.60303,99.95415,0,78,0.02,10,9
8.60303,99.95415,0,78,0.02,10,9
8.60305,99.9535,0.05,78,0.1,10,17
8.60262,99.95348,0.1,83,0.1,10,28
8.60262,99.95348,0.1,83,0.1,10,28
8.60262,99.95348,0.1,83,0.1,10,28
8.60262,99.95348,0.1,83,0.1,10,28
8.60378,99.95308,1.5,91,0.35,10,100
8.60378,99.95308,1.5,91,0.35,10,100
8.60378,99.95308,1.5,91,0.35,10,100
8.6037,99.9527,0.2,91,0.23,10,56
8.6037,99.9527,0.2,91,0.23,10,56
8.6037,99.9527,0.2,91,0.23,10,56
8.60408,99.95293,0,78,0.1,10,19
8.60408,99.95293,0.1,78,0.1,10,19
8.60387,99.9527,0.2,91,0.21,10,51
8.60387,99.95303,0,77,0.02,10,13
8.60387,99.95303,0,77,0.02,10,13
8.60537,99.9535,0.1,84,0.1,10,23
8.60537,99.9535,0.1,84,0.1,10,23
8.60537,99.9535,0.1,84,0.1,10,23
8.6055,99.95358,0.1,82,0.1,10,22
8.6055,99.95358,0.1,82,0.1,10,22
8.6055,99.95358,0.1,82,0.1,10,22
8.60655,99.95457,0.1,89,0.1,10,23
8.60655,99.95457,0.1,89,0.1,10,23
8.60655,99.95457,0.1,89,0.1,10,23
8.603546,99.959064,0.1,74,0.1,10,24
8.603546,99.959064,0.1,74,0.1,10,24
8.603622,99.959309,1.5,86,0.35,10,127
8.603622,99.959309,1.5,86,0.35,10,127
8.603622,99.959309,1.5,86,0.35,10,127
8.60496,99.959453,0.15,80,0.17,10,32
8.60496,99.959453,0.15,80,0.17,10,32
8.60783,99.9564,0.2,91,0.23,10,68
8.60847,99.95553,0.1,75,0.1,10,28
8.60847,99.95553,0.1,75,0.1,10,28
8.60847,99.95553,0.1,75,0.1,10,28
8.60847,99.95553,0.1,75,0.1,10,28
8.605233,99.958649,0.9,86,0.35,10,114
8.605233,99.958649,0.9,86,0.35,10,114
8.605706,99.958633,0,74,0.02,10,1
8.5948,99.9657,0,74,0.02,10,3
8.59481,99.96567,0,74,0.02,10,10
8.59481,99.96567,0,74,0.02,10,10
8.59504,99.96581,0.15,80,0.17,10,34
8.59504,99.96581,0.15,80,0.17,10,34
8.5948,99.96616,0.15,80,0.17,10,34
8.59532,99.96585,2,100,0.5,10,264
8.59532,99.96585,2,100,0.5,10,264
8.59505,99.9657,0,74,0.02,10,17
8.59537,99.96513,0.15,80,0.17,10,32
8.59537,99.96513,0.15,80,0.17,10,32
8.59537,99.96513,0.15,80,0.17,10,32
8.59554,99.9653,0,74,0.02,10,6
8.59554,99.9653,0,74,0.02,10,6
8.59554,99.9653,0,74,0.02,10,6
8.604054,99.959137,0.1,80,0.1,10,25
8.604054,99.959137,0.1,80,0.1,10,25
8.604054,99.959137,0.1,80,0.1,10,25
8.5955,99.96584,0,74,0.02,10,12
8.64188,99.89191,1.5,86,0.35,27,120